Site,No,Type,MXL,MXW,MXT,TCSA,UseWare
OM,4816,BL,92,16,11,88,BL
OM,3194,BL,99,27,18,243,BL
OM,TP5-15 ,BL,79,35,12,210,BL
OM,3257,BL,67,30,8,120,BL
OM,4621,BL,94,30,30,450,BL
OM,3249,BL,116,46,15,345,BL
OM,TP5-27,BL,135,46,13,299,BL
OM,5271,BL,111,38,16,304,BL
OM,TP5-89,BL,84,31,6,93,BL
OM,4585,BL,83,11,31,170.5,BL
OM,6213,BL,125,43,14,301,BL
OM,TP5-40,BL,135,48,12,288,BL
OM,3144,BL,50,21,9,94.5,BL
OM,4746,BL,60,21,7,73.5,BL
OM,4637,BL,157,57,19,541.5,BL
OM,2906,BL,95,41,15,307.5,BL
OM,TP5-138,BL,84,25,7,87.5,BL
OM,TP5-60,BL,121,34,11,187,BL
OM,2891,BL,127,61,20,610,BL
OM,TP5-123,BL,73,22,8,88,BL
OM,3636,BL,93,33,9,148.5,BL
OM,TP5-52,BL,156,75,20,750,BL
OM,4465,BL,110,40,17,340,BL
OM,3060,BL,112,42,14,294,BL
OM,3671,BL,113,44,11,242,BL
OM,5477,BL,95,37,8,148,BL
OM,6031,BL,30,31,9,139.5,BL
OM,2,BL,158,47,14,329,BL
OM,4,BL,95,28,10,140,BL
OM,4,BL,96,36,4,72,BL
OM,6,BL,78,31,8,124,BL
OM,6,BL,97,30,10,150,BL
OM,7,BL,84,27,10,135,BL
OM,11,BL,113,30,15,225,BL
OM,13,BL,84,40,7,140,BL
OM,21,BL,89,24,6,72,BL
OM,22,BL,78,27,7,94.5,BL
OM,22,BL,108,38,15,285,BL
OM,33,BL,107,42,13,273,BL
OM,34,BL,106,21,9,94.5,BL
OM,38,BL,122,34,17,289,BL
OM,38,BL,114,38,12,228,BL
OM,42,BL,68,26,10,130,BL
OM,43,BL,84,22,8,88,BL
OM,49,BL,117,39,19,370.5,BL
OM,50,BL,105,25,13,162.5,BL
OM,53,BL,156,31,15,232.5,BL
OM,55,BL,102,32,10,160,BL
OM,57,BL,76,19,5,47.5,BL
OM,59,BL,120,34,12,204,BL
OM,70,BL,75,19,6,57,BL
OM,74,BL,76,25,7,87.5,BL
OM,88,BL,113,24,13,156,BL
OM,90,BL,130,39,11,214.5,BL
OM,90,BL,88,32,7,112,BL
OM,98,BL,85,21,12,126,BL
OM,110,BL,70,15,7,52.5,BL
OM,115,BL,150,44,14,308,BL
OM,118,BL,91,40,8,160,BL
OM,124,BL,110,31,9,139.5,BL
OM,125,BL,80,22,4,44,BL
OM,127,BL,82,22,13,143,BL
OM,130,BL,78,17,7,59.5,BL
OM,134,BL,90,24,13,156,BL
OM,137,BL,94,38,7,133,BL
OM,138,BL,93,40,10,200,BL
OM,144,BL,171,57,31,883.5,BL
OM,144,BL,91,28,6,84,BL
OM,149,BL,120,36,11,198,BL
OM,152,BL,133,40,19,380,BL
OM,153,BL,143,41,16,328,BL
OM,154,BL,74,25,6,75,BL
OM,168,BL,152,35,15,262.5,BL
OM,170,BL,87,25,9,112.5,BL
OM,179,BL,75,27,8,108,BL
OM,187,BL,121,34,10,170,BL
OM,196,BL,65,17,4,34,BL
OM,197,BL,68,21,8,84,BL
OM,201,BL,96,25,6,75,BL
OM,206,BL,68,27,7,94.5,BL
OM,206,BL,59,18,5,45,BL
OM,208,BL,211,56,20,560,BL
OM,224,BL,96,28,4,56,BL
OM,248,BL,85,29,10,145,BL
OM,250,BL,147,40,10,200,BL
OM,258,BL,82,33,9,148.5,BL
OM,268,BL,102,25,10,125,BL
OM,285,BL,93,31,18,279,BL
OM,287,BL,124,26,16,208,BL
OM,293,BL,120,31,10,155,BL
OM,293,BL,110,43,8,172,BL
OM,311,BL,176,55,15,412.5,BL
OM,311,BL,115,41,14,287,BL
OM,312,BL,139,32,12,192,BL
OM,313,BL,165,35,15,262.5,BL
OM,327,BL,169,43,14,301,BL
OM,335,BL,106,30,9,135,BL
OM,362,BL,71,24,8,96,BL
OM,366,BL,76,21,7,73.5,BL
OM,381,BL,65,26,8,104,BL
OM,390,BL,101,26,4,52,BL
OM,422,BL,117,34,13,221,BL
OM,431,BL,51,25,6,75,BL
OM,457,BL,114,36,9,162,BL
OM,483,BL,123,47,13,305.5,BL
OM,527,BL,106,32,21,336,BL
OM,539,BL,84,15,5,37.5,BL
OM,560,BL,108,33,15,247.5,BL
OM,594,BL,86,23,11,126.5,BL
OM,623,BL,119,39,13,253.5,BL
OM,667,BL,92,22,12,132,BL
OM,724,BL,65,24,6,72,BL
OM,727,BL,56.5,26,6,78,BL
OM,1,KN,80,20,7,70,KN
OM,2,KN,124,29,13,188.5,KN
OM,3,KN,65,23,7,80.5,KN
OM,4,KN,32,17,7,59.5,KN
OM,5,KN,91,29,11,159.5,KN
TM,60,BL,35.7,16.8,6.7,56.28,BL
TM,61,BL,45.8,18.1,4.9,44.345,BL
TM,62,BL,52.7,26.9,4.5,60.525,BL
TM,65,BL,76.5,31.3,8.3,129.895,BL
TM,66,BL,77.3,20.8,7.4,76.96,BL
TM,67,BL,81.6,26.9,6.8,91.46,BL
TM,68,BL,86.1,26.2,10.4,136.24,BLC
TM,73,BL,41.8,12.9,3.1,19.995,BL
TM,81,BL,51.2,27.8,9.4,130.66,BL
TM,82,BL,71.6,22.2,12.2,135.42,BL
TM,83,BL,69.5,13,16.6,107.9,BL
TM,84,BL,99.1,26.8,7.9,105.86,BLC
TM,85,BL,85.9,35.6,9.2,163.76,BLC
TM,86,BL,117.4,39.3,11.4,224.01,BLC
TM,87,BL,146.2,37.5,17.2,322.5,BL
TM,88,BL,127.1,36.7,20.2,370.67,BL
TM,89,BL,109.9,38.7,16.3,315.405,BLC
TM,90,BL,72.4,20,9.2,92,BLC
TM,94,BL,70.7,32,8.8,140.8,BL
TM,1,KN,90.6,20.8,9.2,95.68,KNC
TM,2,KN,82.4,23.8,9.6,114.24,KNC
TM,3,KN,90.8,16.3,9.6,78.24,KNC
TM,4,KN,92.7,21,14.5,152.25,KNC
TM,5,KN,85,20.4,9.6,97.92,KNC
TM,6,KN,70.3,25.2,6.8,85.68,KN
TM,7,KN,105.6,29.3,14.6,213.89,KNC
TM,9,KN,147.2,23.4,12.3,143.91,KNC
TM,10,KN,72,23.4,12.7,148.59,KNC
TM,11,KN,78,26.5,10.5,139.125,KNC
TM,12,KN,87.1,25.7,7,89.95,KN
TM,13,KN,111.2,32.3,12.3,198.645,KNC
TM,14,KN,93,27.7,6.4,88.64,KNC
TM,15,KN,89.5,35.8,12.4,221.96,KNC
TM,16,KN,99.5,35.5,12.6,223.65,KNC
TM,17,KN,124.5,34.3,11.4,195.51,KNC
TM,30,KN,90.2,24.4,11.4,139.08,KNC
TM,31,KN,124.9,31.3,10.6,165.89,KNC
TM,41,ES,62,21.7,13.5,146.475,ES
TM,42,ES,56.5,31.2,12.9,201.24,ESAB
TM,43,ES,83.1,27.2,18.1,246.16,ESAB
TM,44,ES,92.8,34.6,16.3,281.99,ESA
TM,45,ES,86.2,36.6,21.3,389.79,ESAB
TM,46,ES,103,32.3,12.2,197.03,ESAB
TM,47,ES,60.9,25.2,9.9,124.74,ESAB
TM,48,ES,72,24.8,9,111.6,ESA
TM,49,ES,98.1,34,17.4,295.8,ES
TM,50,ES,103.9,39.9,14.1,281.295,ESAB
TM,51,ES,107.7,39,18.4,358.8,ESA
TM,52,ES,93.9,48.8,29.9,729.56,ES
TM,53,ES,113.6,40.3,20.7,417.105,ESA
TM,54,ES,118,40.4,14.9,300.98,ESAB
SZ,RQ492,KN,128.2275,55.6,20.3,564.34,KND
SZ,RQ486,KN,112,38.3,9.8,187.67,KND
SZ,RQ454,KN,110.9,23.9,11.6,138.62,KN
SZ,RQ35,KN,108.7,38.9,10,194.5,KND
SZ,RQ432+491,KN,108.3,24.2,10.9,131.89,KND
SZ,RQ463+464,KN,99.9,28.4,12.8,181.76,KND
SZ,RQ367,KN,96.5,32.8,11.5,188.6,KND
SZ,RQ384,KN,92.1,33.1,7.6,125.78,KND
SZ,RQ455,KN,88.5,33.6,12.4,208.32,KND
SZ,RQ510,KN,89.4,32,12.5,200,KN
SZ,RQ551,KN,87.57,28.773,12.2,175.5153,KN
SZ,RQ187,KN,83.62935,32.3175,12.7185,205.5150619,KN
SZ,RQ289,KN,69.9,29.9,8.8,131.56,KNIF2
SZ,RQ459,KN,75.1,32,9.6,153.6,KN
SZ,RQ228+516,KN,79.2,32.6,8,130.4,KN
SZ,RQ568,KN,59.5,38.4,10,192,KN
SZ,RQ591,KN,74.0175,26.8965,12.927,173.8455278,KN
SZ,RQ579,KN,66.8,24,9.8,117.6,KND
SZ,RQ482,KN,64.8,32.1,13.5,216.675,KN
SZ,RQ239,KN,58.1,20.7,8,82.8,KN
SZ,RQ509Åõ,KN,74.0175,21.0585,9.3825,98.79068813,KN
SZ,1002RQ327,KN,68.5965,18.5565,6.4635,59.96996888,KN
SZ,RQ357Åõ,KN,97.161,18.765,12.7185,119.3313263,KN
SZ,RQ242,KN,74.3,21.8,6.5,70.85,KNIF2
SZ,RQ233,KN,76.9365,27.3135,7.089,96.81270075,KN
SZ,RQ466,KN,87.5,24.4,10.3,125.66,KN
SZ,RQ414,KN,88.5,21.5,7.2,77.4,KN
SZ,RQ390,KN,84.5,26,11.4,148.2,KN
SZ,RQ294,KN,79.5,24.4,5.8,70.76,KN
SZ,RQ318,KN,69.3,19.9,12.2,121.39,KN
SZ,RQ580,KN,59.1,20.3,7,71.05,KN
SZ,RQ558,KN,101.8,35,12.2,213.5,KN
SZ,RQ474,KN,105.6,37.2,9.2,171.12,KND
SZ,RQ534,BL,104.8,25.5,9,114.75,BL
SZ,RQ369,BL,51,21.4,9.2,98.44,BLD
SZ,RQ45,BL,121.8,31.7,10.5,166.425,BLD
SZ,RQ389,BL,80.8,36,7.8,140.4,BLD
SZ,RQ433,BL,70.9,25.9,8.4,108.78,BLD
SZ,RQ410,BL,66.5,25.6,6.3,80.64,BLD
SZ,RQ317,BL,30.6,30.1,10.8,162.54,BLD
SZ,RQ297,BL,128.853,33.777,17.514,295.785189,BL
SZ,RQ227,BL,121.764,35.028,13.344,233.706816,BL
SZ,RQ441,BL,107.3775,31.0665,8.2,127.37265,BL
SZ,RQ346,BL,105.918,29.607,12.3015,182.1052553,BL
SZ,RQ460,BL,105.2925,32.109,10.425,167.3681625,BL
SZ,RQ472,BL,104.4585,35.2365,11.676,205.710687,BL
SZ,RQ569,BL,102.7905,18.5565,9.591,88.98769575,BL
SZ,RQ409,BL,95.493,35.862,10.2165,183.1920615,BL
SZ,RQ420,BL,94.242,35.2365,8.757,154.2830153,BL
SZ,1003,BL,91.9485,28.1475,7.506,105.6375675,BL
SZ,RQ74+264,BL,104.0415,37.7385,10.6335,200.6461699,BL
SZ,RQ535,BL,88.6125,31.4835,12.51,196.9292925,BL
SZ,RQ484,BL,89.238,37.7385,11.8845,224.2516016,BL
SZ,RQ465,BL,90.6975,44.8275,16.8885,378.5346169,BL
SZ,RQ475,BL,87.7785,27.522,10.6335,146.3275935,BL
SZ,RQ38,BL,75.894,26.688,8.5485,114.071184,BL
SZ,RQ394,BL,72.7665,21.8925,8.34,91.291725,BL
SZ,RQ378,BL,69.8475,31.275,10.2165,159.7605188,BL
SZ,RQ322,BL,67.137,27.522,9.3825,129.1125825,BL
SZ,RQ326,BL,66.5115,26.0625,7.2975,95.09554688,BL
SZ,RQ234,BL,67.137,25.2285,8.757,110.4629873,BL
SZ,RQ149,BL,64.218,29.3985,11.676,171.628443,BL
SZ,RQ592,BL,64.8435,19.3905,6.672,64.686708,BL
SZ,RQ285,BL,61.716,36.9045,10.2165,188.5174121,BL
SZ,RQ513,BL,56.5035,22.7265,5.838,66.3386535,BL
SZ,RQ368,BL,57.7545,21.267,10.842,115.288407,BL
SZ,RQ494,BL,54.0015,23.352,5.838,68.164488,BL
SZ,RQ523,BL,49.8315,18.348,6.4635,59.296149,BL
SZ,RQ424,BL,49.8315,17.514,10.008,87.640056,BL
SZ,RQ381,BL,43.5765,19.8075,6.672,66.07782,BL
IZ,1,KN,75,26.8,6.9,92.46,KN
IZ,2,KN,52,24.2,6,72.6,KN
IZ,3,KN,76,22.6,10.6,119.78,KN
IZ,4,KN,69,35.9,13,233.35,KN
IZ,5,KN,73,38.6,12,231.6,KN
IZ,13,BL,69,28.4,9,127.8,BL
IZ,14,BL,44,18.2,7.6,69.16,BL
IZ,15,BL,68,37,8,148,BL
IZ,16,BL,54,27.5,5.9,81.125,BL
IZ,17,BL,59,24,9.8,117.6,BL
IZ,18,BL,54.1,27,8.9,120.15,BL
IZ,19,BL,52,30,9.9,148.5,BL
IZ,20,BL,44.5,25,9,112.5,BL
IZ,21,BL,54,28.5,8.2,116.85,BL
IZ,22,BL,46,21,7,73.5,BL
IZ,23,BL,50.5,26,12.8,166.4,BL
IZ,24,BL,62,28,13.2,184.8,BL
IZ,25,BL,40,26,8.6,111.8,BL
IZ,26,BL,39,22,4,44,BL
IZ,27,BL,38,18,7,63,BL
IZ,28,BL,74,18,8,72,BL
IZ,29,BL,78.8,23,6.4,73.6,BL
IZ,30,BL,74.2,38,11.5,218.5,BL
IZ,31,BL,77.5,26,12.8,166.4,BL
IZ,32,BL,71,24,9,108,BL
IZ,33,BL,70.8,20,8.1,81,BL
IZ,34,BL,66,34,11,187,BL
IZ,35,BL,64,33.9,11.2,189.84,BL
IZ,36,BL,62,22.5,11,123.75,BL
IZ,37,BL,80.1,26,18,234,BL
IZ,38,BL,74,26.5,12,159,BL
IZ,39,BL,65.2,19,7,66.5,BL
IZ,40,BL,76,24.2,12,145.2,BL
IZ,42,BL,64.2,16,8.2,65.6,BL
IZ,43,BL,62,20,8,80,BL
IZ,44,BL,62.2,30,6,90,BL
IZ,45,BL,68,28,8,112,BL
IZ,46,BL,48,22,5,55,BL
IZ,47,BL,45,19,10,95,BL
IZ,48,BL,67,32,12.3,196.8,BL
IZ,49,BL,48,16.5,8.2,67.65,BL
IZ,50,BL,60,32,9,144,BL
IZ,51,BL,57,20.5,7.9,80.975,BL
IZ,52,BL,64,19.8,7.8,77.22,BL
IZ,53,BL,50,14,5,35,BL
IZ,54,BL,49,23,8,92,BL
IZ,55,BL,42,24,11,132,BL
IZ,56,BL,66,19,5,47.5,BL
IZ,57,BL,48,36,12,216,BL
IZ,58,BL,46.5,18,6,54,BL
IZ,59,BL,54,21,7,73.5,BL
IZ,60,BL,80,28.2,11,155.1,BL
IZ,61,BL,66,20,5.8,58,BL
IZ,62,BL,66,32.5,6.2,100.75,BL
IZ,63,BL,72,30,9,135,BL
IZ,64,BL,74,28,40,560,BL
IZ,65,BL,68,28,9,126,BL
IZ,67,BL,54,17.8,7,62.3,BL
IZ,68,BL,40,22,6.8,74.8,BL
IZ,70,BL,45,21,7,73.5,BL
IZ,71,BL,42,22,6,66,BL
IZ,73,BL,54,20,6.4,64,BL
IZ,74,BL,40,21,3.8,39.9,BL
IZ,76,BL,85,29,16,232,BL
IZ,77,BL,106,30,15.5,232.5,BL
IZ,78,BL,138,26,16,208,BL
